,id,first_name,last_name,gender,City,Job Title,Salary,Latitude,Longitude,clean_salary,female_average_salary,male_average_salary
0,1,Melinde,Shilburne,Female,Nowa Ruda,Assistant Professor,$57438.18,50.5774075,16.496718400000002,57438.18,57438.18,57438.18
1,2,Kimberly,Von Welden,Female,Bulgan,Programmer II,$62846.60,48.823157200000004,103.5218199,62846.6,62846.6,62846.6
2,3,Alvera,Di Boldi,Female,,,$57576.52,39.99474620000001,116.33977250000001,57576.52,57576.52,57576.52
3,4,Shannon,O'Griffin,Male,Divnomorskoye,Budget/Accounting Analyst II,$61489.23,44.504721200000006,38.1300171,61489.23,,
4,5,Sherwood,Macieja,Male,Mytishchi,VP Sales,$63863.09,,37.6489954,63863.09,,
5,6,Maris,Folk,Female,Kinsealy-Drinan,Civil Engineer,$30101.16,53.4266145,-6.1644997,30101.16,30101.16,30101.16
6,7,Masha,Divers,Female,Dachun,,$25090.87,24.879416,118.93011100000001,25090.87,25090.87,25090.87
7,8,Goddart,Flear,Male,Trélissac,Desktop Support Technician,$46116.36,45.1905186,0.7423124,46116.36,,
8,9,Roth,O'Cannavan,Male,Heitan,VP Product Management,$73697.10,32.027934,106.657113,73697.1,,
9,10,Bran,Trahear,Male,Arbeláez,Mechanical Systems Engineer,$68098.42,4.272793,-74.416014,68098.42,,
10,11,Kylynn,Lockart,Female,El Cardo,Nuclear Power Engineer,$13604.63,-5.85,-79.8833329,13604.63,13604.63,13604.63
11,12,Rey,Meharg,Female,Wangqingtuo,Systems Administrator I,$73423.70,39.172378,116.931607,73423.7,73423.7,73423.7
12,13,Kerr,Braden,Male,Sułkowice,Compensation Analyst,$33432.99,49.8151822,19.377174899999996,33432.99,,
13,14,Mickie,Whanstall,Male,Springfield,Assistant Media Planner,$50838.53,42.1014803,-72.57667590000001,50838.53,,
14,15,Kaspar,Pally,Male,Chrást,Analyst Programmer,$40163.03,49.7923299,13.491532399999999,40163.03,,
15,16,Norbie,Gwyllt,Male,Xijiao,Editor,$32492.73,43.494573700000004,5.8978018,32492.73,,
16,17,Claude,Briant,Female,Mieścisko,Research Assistant II,$51862.48,52.7441662,17.327863699999998,51862.48,51862.48,51862.48
17,18,Thain,Habbon,Male,Foros do Trapo,Design Engineer,$42135.67,38.696249,-8.7098337,42135.67,,
18,19,Tiffanie,Pattison,Female,Jabungsisir,Senior Financial Analyst,$91925.08,-7.723256699999999,113.46868020000001,91925.08,91925.08,91925.08
19,20,Ettore,Gerriets,Male,Pedra,Staff Accountant IV,$73921.33,40.7172049,-8.3625148,73921.33,,
20,21,Alon,Chasteau,Male,Xin’e,Web Developer I,$62755.85,49.16291,127.98658,62755.85,,
21,22,Guthrey,Johnke,Male,Xijiao,Developer I,$13708.03,40.7576842,23.134218399999998,13708.03,,
22,23,Lurleen,Janczak,Female,Rozkishne,Web Developer IV,$29384.72,48.490280799999994,39.2712224,29384.72,29384.72,29384.72
23,24,Nichol,Holtum,Female,Město,Paralegal,$27797.98,49.9718258,12.8846277,27797.98,27797.98,27797.98
24,25,Shaun,Bridle,Female,Xitou,Office Assistant IV,$71279.60,29.866916999999997,118.40378600000001,71279.6,71279.6,71279.6
25,26,Leandra,Anfrey,Female,Isfahan,VP Product Management,$30201.32,32.654627500000004,51.6679826,30201.32,30201.32,30201.32
26,27,Jarvis,Perone,Male,Hägersten,Associate Professor,$55313.18,59.2832062,17.9570059,55313.18,,
27,28,Jaquelyn,Hazard,Female,Dhaka,Tax Accountant,$68368.55,23.810332,90.4125181,68368.55,68368.55,68368.55
